database,base_name,status,results_file,best_file,is_identical,similarity_percent,has_differences
BPI2016-V31,prompt-05-tree-of-thought,compared,005_prompt-05-tree-of-thought.txt_SQL.txt,002_prompt-05-tree-of-thought.txt_SQL.txt,False,75.5,True
BPI2016-V31,prompt-06-processmining-knowledge,compared,004_prompt-06-processmining-knowledge.txt_SQL.txt,002_prompt-06-processmining-knowledge.txt_SQL.txt,False,42.2,True
BPI2016-V31,prompt-07-BPI2016,compared,001_prompt-07-BPI2016.txt_SQL.txt,001_prompt-07-BPI2016.txt_SQL.txt,False,35.9,True
BPI2016-V31,prompt-07-RunningExample,only_in_results,002_prompt-07-RunningExample.txt_SQL.txt,,,,
BPI2016-V31,prompt-07-RunningExample,only_in_results,001_prompt-07-RunningExample.txt_SQL.txt,,,,
BPI2016-V31,prompt-07-paperj,only_in_results,001_prompt-07-paperj.txt_SQL.txt,,,,
BPI2016-V31,prompt-07-paperj,only_in_results,002_prompt-07-paperj.txt_SQL.txt,,,,
UWV-V06,prompt-01-baseline,compared,005_prompt-01-baseline.txt_SQL.txt,003_prompt-01-baseline.txt_SQL.txt,True,100.0,False
UWV-V06,prompt-02-persona,compared,001_prompt-02-persona.txt_SQL.txt,001_prompt-02-persona.txt_SQL.txt,True,100.0,False
UWV-V06,prompt-03-few-shot-example,compared,001_prompt-03-few-shot-example.txt_SQL.txt,001_prompt-03-few-shot-example.txt_SQL.txt,False,57.8,True
UWV-V06,prompt-04-chain-of-thought,compared,003_prompt-04-chain-of-thought.txt_SQL.txt,003_prompt-04-chain-of-thought.txt_SQL.txt,False,75.3,True
UWV-V06,prompt-05-tree-of-thought,compared,005_prompt-05-tree-of-thought.txt_SQL.txt,002_prompt-05-tree-of-thought.txt_SQL.txt,True,100.0,False
UWV-V06,prompt-06-processmining-knowledge,compared,004_prompt-06-processmining-knowledge.txt_SQL.txt,002_prompt-06-processmining-knowledge.txt_SQL.txt,True,100.0,False
UWV-V06,prompt-07-RunningExample,only_in_results,002_prompt-07-RunningExample.txt_SQL.txt,,,,
UWV-V06,prompt-07-RunningExample,only_in_results,001_prompt-07-RunningExample.txt_SQL.txt,,,,
UWV-V06,prompt-07-UWV,compared,001_prompt-07-UWV.txt_SQL.txt,001_prompt-07-UWV.txt_SQL.txt,False,54.1,True
UWV-V06,prompt-07-paperj,only_in_results,001_prompt-07-paperj.txt_SQL.txt,,,,
UWV-V06,prompt-07-paperj,only_in_results,002_prompt-07-paperj.txt_SQL.txt,,,,
P2P-V63,prompt-01-baseline,compared,005_prompt-01-baseline.txt_SQL.txt,003_prompt-01-baseline.txt_SQL.txt,True,100.0,False
P2P-V63,prompt-02-persona,compared,001_prompt-02-persona.txt_SQL.txt,001_prompt-02-persona.txt_SQL.txt,False,89.1,True
P2P-V63,prompt-03-few-shot-example,compared,001_prompt-03-few-shot-example.txt_SQL.txt,001_prompt-03-few-shot-example.txt_SQL.txt,False,73.4,True
P2P-V63,prompt-04-chain-of-thought,compared,003_prompt-04-chain-of-thought.txt_SQL.txt,003_prompt-04-chain-of-thought.txt_SQL.txt,False,60.5,True
P2P-V63,prompt-05-tree-of-thought,compared,005_prompt-05-tree-of-thought.txt_SQL.txt,002_prompt-05-tree-of-thought.txt_SQL.txt,False,62.4,True
P2P-V63,prompt-06-processmining-knowledge,compared,004_prompt-06-processmining-knowledge.txt_SQL.txt,002_prompt-06-processmining-knowledge.txt_SQL.txt,False,62.8,True
P2P-V63,prompt-07-P2P,only_in_results,002_prompt-07-P2P.txt_SQL.txt,,,,
P2P-V63,prompt-07-P2P,only_in_results,001_prompt-07-P2P.txt_SQL.txt,,,,
P2P-V63,prompt-07-RunningExample,compared,004_prompt-07-RunningExample.txt_SQL.txt,003_prompt-07-RunningExample.txt_SQL.txt,True,100.0,False
P2P-V63,prompt-07-UWV,only_in_results,001_prompt-07-UWV.txt_SQL.txt,,,,
P2P-V63,prompt-07-paperj,only_in_results,001_prompt-07-paperj.txt_SQL.txt,,,,
ERP-V019,prompt-01-baseline,compared,005_prompt-01-baseline.txt_SQL.txt,003_prompt-01-baseline.txt_SQL.txt,False,98.8,True
ERP-V019,prompt-02-persona,compared,008_prompt-02-persona.txt_SQL.txt,001_prompt-02-persona.txt_SQL.txt,True,100.0,False
ERP-V019,prompt-03-few-shot-example,compared,001_prompt-03-few-shot-example.txt_SQL.txt,001_prompt-03-few-shot-example.txt_SQL.txt,False,99.4,True
ERP-V019,prompt-04-chain-of-thought,compared,003_prompt-04-chain-of-thought.txt_SQL.txt,003_prompt-04-chain-of-thought.txt_SQL.txt,False,98.6,True
ERP-V019,prompt-05-tree-of-thought,compared,008_prompt-05-tree-of-thought.txt_SQL.txt,002_prompt-05-tree-of-thought.txt_SQL.txt,False,53.0,True
ERP-V019,prompt-06-processmining-knowledge,compared,006_prompt-06-processmining-knowledge.txt_SQL.txt,002_prompt-06-processmining-knowledge.txt_SQL.txt,False,36.2,True
ERP-V019,prompt-07-ERP,only_in_results,001_prompt-07-ERP.txt_SQL.txt,,,,
ERP-V019,prompt-07-ERP,only_in_results,002_prompt-07-ERP.txt_SQL.txt,,,,
ERP-V019,prompt-07-P2P,only_in_results,002_prompt-07-P2P.txt_SQL.txt,,,,
ERP-V019,prompt-07-P2P,only_in_results,001_prompt-07-P2P.txt_SQL.txt,,,,
ERP-V019,prompt-07-RunningExample,only_in_results,004_prompt-07-RunningExample.txt_SQL.txt,,,,
ERP-V019,prompt-07-RunningExample,only_in_results,003_prompt-07-RunningExample.txt_SQL.txt,,,,
ERP-V019,prompt-07-RunningExample,only_in_results,005_prompt-07-RunningExample.txt_SQL.txt,,,,
ERP-V019,prompt-07-RunningExample,only_in_results,002_prompt-07-RunningExample.txt_SQL.txt,,,,
ERP-V019,prompt-07-RunningExample,only_in_results,001_prompt-07-RunningExample.txt_SQL.txt,,,,
ERP-V019,prompt-07-UWV,only_in_results,001_prompt-07-UWV.txt_SQL.txt,,,,
ERP-V019,prompt-07-paperj,compared,001_prompt-07-paperj.txt_SQL.txt,001_prompt-07-paperj.txt_SQL.txt,False,97.7,True
ERP-V209,prompt-01-baseline,compared,003_prompt-01-baseline.txt_SQL.txt,002_prompt-01-baseline.txt_SQL.txt,False,44.5,True
ERP-V209,prompt-02-persona,compared,001_prompt-02-persona.txt_SQL.txt,001_prompt-02-persona.txt_SQL.txt,False,50.4,True
ERP-V209,prompt-03-few-shot-example,compared,001_prompt-03-few-shot-example.txt_SQL.txt,001_prompt-03-few-shot-example.txt_SQL.txt,False,85.1,True
ERP-V209,prompt-04-chain-of-thought,compared,003_prompt-04-chain-of-thought.txt_SQL.txt,001_prompt-04-chain-of-thought.txt_SQL.txt,False,95.5,True
ERP-V209,prompt-05-tree-of-thought,compared,004_prompt-05-tree-of-thought.txt_SQL.txt,002_prompt-05-tree-of-thought.txt_SQL.txt,True,100.0,False
ERP-V209,prompt-06-processmining-knowledge,compared,004_prompt-06-processmining-knowledge.txt_SQL.txt,002_prompt-06-processmining-knowledge.txt_SQL.txt,False,95.4,True
ERP-V209,prompt-07-RunningExample,only_in_results,001_prompt-07-RunningExample.txt_SQL.txt,,,,
ERP-V209,prompt-07-UWV,only_in_results,001_prompt-07-UWV.txt_SQL.txt,,,,
ERP-V209,prompt-07-paperj,compared,001_prompt-07-paperj.txt_SQL.txt,001_prompt-07-paperj.txt_SQL.txt,False,97.1,True
P2P-V15,prompt-01-baseline,compared,003_prompt-01-baseline.txt_SQL.txt,002_prompt-01-baseline.txt_SQL.txt,False,49.0,True
P2P-V15,prompt-02-persona,compared,001_prompt-02-persona.txt_SQL.txt,001_prompt-02-persona.txt_SQL.txt,False,53.0,True
P2P-V15,prompt-03-few-shot-example,compared,001_prompt-03-few-shot-example.txt_SQL.txt,001_prompt-03-few-shot-example.txt_SQL.txt,False,68.8,True
P2P-V15,prompt-04-chain-of-thought,compared,003_prompt-04-chain-of-thought.txt_SQL.txt,001_prompt-04-chain-of-thought.txt_SQL.txt,False,55.4,True
P2P-V15,prompt-05-tree-of-thought,compared,004_prompt-05-tree-of-thought.txt_SQL.txt,002_prompt-05-tree-of-thought.txt_SQL.txt,True,100.0,False
P2P-V15,prompt-06-processmining-knowledge,compared,004_prompt-06-processmining-knowledge.txt_SQL.txt,002_prompt-06-processmining-knowledge.txt_SQL.txt,False,21.4,True
P2P-V15,prompt-07-RunningExample,compared,004_prompt-07-RunningExample.txt_SQL.txt,002_prompt-07-RunningExample.txt_SQL.txt,True,100.0,False
P2P-V15,prompt-07-UWV,only_in_results,001_prompt-07-UWV.txt_SQL.txt,,,,
P2P-V15,prompt-07-paperj,only_in_results,001_prompt-07-paperj.txt_SQL.txt,,,,
BPI2016-V24,prompt-01-baseline,compared,003_prompt-01-baseline.txt_SQL.txt,002_prompt-01-baseline.txt_SQL.txt,False,94.0,True
BPI2016-V24,prompt-02-persona,compared,001_prompt-02-persona.txt_SQL.txt,001_prompt-02-persona.txt_SQL.txt,False,94.0,True
BPI2016-V24,prompt-03-few-shot-example,compared,001_prompt-03-few-shot-example.txt_SQL.txt,001_prompt-03-few-shot-example.txt_SQL.txt,False,83.5,True
BPI2016-V24,prompt-04-chain-of-thought,compared,003_prompt-04-chain-of-thought.txt_SQL.txt,001_prompt-04-chain-of-thought.txt_SQL.txt,False,94.0,True
BPI2016-V24,prompt-05-tree-of-thought,compared,004_prompt-05-tree-of-thought.txt_SQL.txt,002_prompt-05-tree-of-thought.txt_SQL.txt,True,100.0,False
BPI2016-V24,prompt-06-processmining-knowledge,compared,004_prompt-06-processmining-knowledge.txt_SQL.txt,002_prompt-06-processmining-knowledge.txt_SQL.txt,False,95.5,True
BPI2016-V24,prompt-07-BPI2016,compared,001_prompt-07-BPI2016.txt_SQL.txt,001_prompt-07-BPI2016.txt_SQL.txt,False,98.1,True
BPI2016-V24,prompt-07-RunningExample,only_in_results,001_prompt-07-RunningExample.txt_SQL.txt,,,,
BPI2016-V24,prompt-07-paperj,only_in_results,001_prompt-07-paperj.txt_SQL.txt,,,,
UWV-V22,prompt-01-baseline,compared,003_prompt-01-baseline.txt_SQL.txt,002_prompt-01-baseline.txt_SQL.txt,True,100.0,False
UWV-V22,prompt-02-persona,compared,001_prompt-02-persona.txt_SQL.txt,001_prompt-02-persona.txt_SQL.txt,True,100.0,False
UWV-V22,prompt-03-few-shot-example,compared,001_prompt-03-few-shot-example.txt_SQL.txt,001_prompt-03-few-shot-example.txt_SQL.txt,False,75.7,True
UWV-V22,prompt-04-chain-of-thought,compared,003_prompt-04-chain-of-thought.txt_SQL.txt,001_prompt-04-chain-of-thought.txt_SQL.txt,False,82.5,True
UWV-V22,prompt-05-tree-of-thought,compared,004_prompt-05-tree-of-thought.txt_SQL.txt,002_prompt-05-tree-of-thought.txt_SQL.txt,False,100.0,True
UWV-V22,prompt-06-processmining-knowledge,compared,004_prompt-06-processmining-knowledge.txt_SQL.txt,002_prompt-06-processmining-knowledge.txt_SQL.txt,False,24.3,True
UWV-V22,prompt-07-RunningExample,only_in_results,001_prompt-07-RunningExample.txt_SQL.txt,,,,
UWV-V22,prompt-07-UWV,compared,001_prompt-07-UWV.txt_SQL.txt,001_prompt-07-UWV.txt_SQL.txt,False,70.7,True
UWV-V22,prompt-07-paperj,only_in_results,001_prompt-07-paperj.txt_SQL.txt,,,,
P2P-V03,prompt-01-baseline,compared,003_prompt-01-baseline.txt_SQL.txt,002_prompt-01-baseline.txt_SQL.txt,False,58.6,True
P2P-V03,prompt-02-persona,compared,001_prompt-02-persona.txt_SQL.txt,001_prompt-02-persona.txt_SQL.txt,False,89.9,True
P2P-V03,prompt-03-few-shot-example,compared,001_prompt-03-few-shot-example.txt_SQL.txt,001_prompt-03-few-shot-example.txt_SQL.txt,False,78.8,True
P2P-V03,prompt-04-chain-of-thought,compared,003_prompt-04-chain-of-thought.txt_SQL.txt,001_prompt-04-chain-of-thought.txt_SQL.txt,False,44.1,True
P2P-V03,prompt-05-tree-of-thought,compared,004_prompt-05-tree-of-thought.txt_SQL.txt,002_prompt-05-tree-of-thought.txt_SQL.txt,True,100.0,False
P2P-V03,prompt-06-processmining-knowledge,compared,004_prompt-06-processmining-knowledge.txt_SQL.txt,002_prompt-06-processmining-knowledge.txt_SQL.txt,True,100.0,False
P2P-V03,prompt-07-RunningExample,compared,004_prompt-07-RunningExample.txt_SQL.txt,002_prompt-07-RunningExample.txt_SQL.txt,False,99.8,True
P2P-V03,prompt-07-UWV,only_in_results,001_prompt-07-UWV.txt_SQL.txt,,,,
P2P-V03,prompt-07-paperj,only_in_results,001_prompt-07-paperj.txt_SQL.txt,,,,
ERP-V511,prompt-01-baseline,compared,003_prompt-01-baseline.txt_SQL.txt,002_prompt-01-baseline.txt_SQL.txt,False,94.7,True
ERP-V511,prompt-02-persona,compared,001_prompt-02-persona.txt_SQL.txt,001_prompt-02-persona.txt_SQL.txt,False,78.4,True
ERP-V511,prompt-03-few-shot-example,compared,001_prompt-03-few-shot-example.txt_SQL.txt,001_prompt-03-few-shot-example.txt_SQL.txt,False,40.8,True
ERP-V511,prompt-04-chain-of-thought,compared,003_prompt-04-chain-of-thought.txt_SQL.txt,001_prompt-04-chain-of-thought.txt_SQL.txt,False,50.7,True
ERP-V511,prompt-05-tree-of-thought,compared,004_prompt-05-tree-of-thought.txt_SQL.txt,002_prompt-05-tree-of-thought.txt_SQL.txt,False,82.6,True
ERP-V511,prompt-06-processmining-knowledge,compared,004_prompt-06-processmining-knowledge.txt_SQL.txt,002_prompt-06-processmining-knowledge.txt_SQL.txt,False,69.5,True
ERP-V511,prompt-07-RunningExample,only_in_results,001_prompt-07-RunningExample.txt_SQL.txt,,,,
ERP-V511,prompt-07-UWV,only_in_results,001_prompt-07-UWV.txt_SQL.txt,,,,
ERP-V511,prompt-07-paperj,compared,001_prompt-07-paperj.txt_SQL.txt,001_prompt-07-paperj.txt_SQL.txt,False,98.2,True
